# TPV6/7 station x2_0_x3_0 farside (along_strike=0, down_dip=0)
# nearside = STRONG (larger Zp) side; farside = WEAK side.
# Columns: t h-disp h-vel h-stress v-disp v-vel v-stress n-disp n-vel n-stress
# h=strike, v=dip, n=normal; vel m/s, disp m, stress MPa, n-stress COMPRESSION-POSITIVE (drdg3d ref is negative — the viz flips it).  Velocity = imposed split-node Godunov velocity; disp = trapezoidal time-integral.
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-04 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
1.4923581184e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.2385371776e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.9847162368e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
3.7308952960e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
4.4770743552e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.2232534144e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.9694324736e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
6.7156115328e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-03 -5.3708717575e-107 -1.4395664663e-103 7.0000000000e+01 -1.5850293833e-106 -4.2483888118e-103 -3.2747443398e-102 -1.6128380002e-106 -4.3229248538e-103 1.2000000000e+02
8.2079696512e-03 -5.6918562643e-103 -1.5253127302e-99 7.0000000000e+01 -1.6789359642e-102 -4.4992389900e-99 -3.4677296153e-98 -1.7033558468e-102 -4.5646772265e-99 1.2000000000e+02
8.9541487104e-03 -4.8844807301e-100 -1.3061471055e-96 7.0000000000e+01 -1.4407652867e-99 -3.8527152807e-96 -2.9690685198e-95 -1.4591899652e-99 -3.9019684567e-96 1.2000000000e+02
9.7003277696e-03 -1.3182222252e-97 -3.5071063178e-94 7.0000000000e+01 -3.8888006690e-97 -1.0346092915e-93 -7.9721398400e-93 -3.9333980953e-97 -1.0464641997e-93 1.2000000000e+02
1.0446506829e-02 -1.7211748137e-95 -4.5428987160e-92 7.0000000000e+01 -5.0784479825e-95 -1.3404181543e-91 -1.0327192541e-90 -5.1311486412e-95 -1.3543055422e-91 1.2000000000e+02
1.1192685888e-02 -1.3401436650e-93 -3.5004542713e-90 7.0000000000e+01 -3.9550493598e-93 -1.0330644460e-89 -7.9581264914e-89 -3.9923401884e-93 -1.0427794595e-89 1.2000000000e+02
1.1938864947e-02 -7.0291950836e-92 -1.8131257772e-88 7.0000000000e+01 -2.0749660356e-91 -5.3522622072e-88 -4.1224941213e-87 -2.0927634347e-91 -5.3979939485e-88 1.2000000000e+02
1.2685044006e-02 -2.6878624604e-90 -6.8346187253e-87 7.0000000000e+01 -7.9364220728e-90 -2.0180781215e-86 -1.5541662470e-85 -7.9982982236e-90 -2.0337285761e-86 1.2000000000e+02
1.3431223066e-02 -7.9164764450e-89 -1.9814808897e-85 7.0000000000e+01 -2.3381248621e-88 -5.8523975788e-85 -4.5063775827e-84 -2.3546544486e-88 -5.8934786644e-85 1.2000000000e+02
1.4177402125e-02 -1.8696169287e-87 -4.6008398810e-84 7.0000000000e+01 -5.5234581672e-87 -1.3592712882e-83 -1.0464811932e-82 -5.5587256644e-87 -1.3678702554e-83 1.2000000000e+02
